구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강남구,1802,1657,1495,0,셀프,SK에너지
강남구,1795.38,1637.97,1483.97,0,셀프,SK에너지
강남구,1741.26,1570.61,1431.13,0,셀프,SK에너지
강남구,1617,1425.33,1290,0,셀프,SK에너지
강남구,1565,1350.81,1197.74,0,셀프,SK에너지
강남구,1616.33,1417.33,1246.33,0,셀프,SK에너지
강남구,2289,1999,1903.65,1358.74,일반,GS칼텍스
강남구,2287.48,1997.48,1863.69,1359,일반,GS칼텍스
강남구,2253.39,1963.39,1806.61,1359,일반,GS칼텍스
강남구,2156.53,1862.73,1692,1359,일반,GS칼텍스
강남구,2080.55,1790.55,1611.19,1359,일반,GS칼텍스
강남구,2079,1832.33,1652.33,1359,일반,GS칼텍스
강남구,0,1539.52,1379.52,0,셀프,SK에너지
강남구,0,1539.48,1382.24,0,셀프,SK에너지
강남구,0,1497.32,1333.52,0,셀프,SK에너지
강남구,0,1357.87,1184.87,0,셀프,SK에너지
강남구,0,1266.03,1109.52,0,셀프,SK에너지
강남구,0,1314.73,1146.93,0,셀프,SK에너지
강남구,1790,1641.45,1499,0,일반,S-OIL
강남구,1790,1635,1493.48,0,일반,S-OIL
강남구,1749.68,1570.29,1424.81,0,일반,S-OIL
강남구,1615.67,1443.57,1254.67,0,일반,S-OIL
강남구,1502.58,1355.97,1163.87,0,일반,S-OIL
강남구,1512.67,1382.87,1200.33,0,일반,S-OIL
강남구,2146.19,1996.84,1816.29,1356.29,일반,GS칼텍스
강남구,2125.59,1971.59,1791.41,1325.14,일반,GS칼텍스
강남구,2081.77,1927.77,1753.87,1329,일반,GS칼텍스
강남구,1974.33,1820.33,1649.33,1200,일반,GS칼텍스
강남구,1907.19,1754.52,1584.48,1052.21,일반,GS칼텍스
강남구,2015.27,1861.27,1682.67,1098,일반,GS칼텍스
강남구,1859.61,1645.1,1478.65,0,셀프,SK에너지
강남구,1760.07,1588,1428,0,셀프,SK에너지
강남구,1725.1,1535.42,1371.55,0,셀프,SK에너지
강남구,1610.67,1396.67,1204.67,0,셀프,SK에너지
강남구,1594.13,1354.13,1154.13,0,셀프,SK에너지
강남구,1665.67,1425.67,1219,0,셀프,SK에너지
강남구,2148,1948,1813,1350,일반,SK에너지
강남구,2148,1948,1813,1350,일반,SK에너지
강남구,2113.16,1905.1,1769.29,1350,일반,SK에너지
강남구,2039,1788,1646.33,1350,일반,SK에너지
강남구,1998,1738,1598,1350,일반,SK에너지
강남구,2028,1768,1628,1350,일반,SK에너지
강남구,1780,1625,1475,0,셀프,SK에너지
강남구,1745.52,1590.52,1440.52,0,셀프,SK에너지
강남구,1698.39,1543.39,1393.39,0,셀프,SK에너지
강남구,1585.67,1437.67,1287.67,0,셀프,SK에너지
강남구,1500.65,1355.65,1205.65,0,셀프,SK에너지
강남구,1511,1366.33,1195,0,셀프,SK에너지
강남구,1875,1675,1535,0,셀프,SK에너지
강남구,1841.9,1641.9,1501.07,0,셀프,SK에너지
강남구,1795.77,1595.77,1464.87,0,셀프,SK에너지
강남구,1665.67,1462.7,1323.27,0,셀프,SK에너지
강남구,1552.42,1352.42,1200.94,0,셀프,SK에너지
강남구,1544.05,1391.32,1222.37,0,셀프,SK에너지
강남구,1795.65,1655.97,1519.97,0,일반,SK에너지
강남구,1775,1631.48,1493.83,0,일반,SK에너지
강남구,1733.26,1578.35,1450.35,0,일반,SK에너지
강남구,1597.73,1446.67,1300.67,0,일반,SK에너지
강남구,1505.29,1363.19,1209.32,0,일반,SK에너지
강남구,1545,1415,1248.67,0,일반,SK에너지
강남구,2047,1838,1659,1350,일반,현대오일뱅크
강남구,2024.24,1807.66,1627.93,1350,일반,현대오일뱅크
강남구,1976.35,1754.45,1554.45,0,일반,현대오일뱅크
강남구,1883.13,1633.8,1462.63,1328,일반,현대오일뱅크
강남구,1857,1576.68,1405.39,1350,일반,현대오일뱅크
강남구,1881.6,1599.67,1419.67,0,일반,현대오일뱅크
