기간	차종별	계	휘발유	경유	LPG	전기	CNG	하이브리드	수소	기타
2020.01	계	3,127,566	1,609,709	1,122,681	271,250	15,353	9,429	92,676	603	5,865
2020.01	승용차	2,673,913	1,606,680	728,277	230,620	14,410	507	92,624	601	194
2020.01	승합차	114,005	1,010	88,277	14,735	134	8,520	52	2	1,275
2020.01	화물차	331,369	2,001	298,071	25,814	808	400	-	-	4,275
2020.01	특수차	8,279	18	8,056	81	1	2	-	-	121
2020.02	계	3,123,984	1,609,120	1,119,056	270,098	16,438	9,449	93,330	599	5,894
2020.02	승용차	2,671,522	1,606,066	725,825	229,730	15,327	507	93,278	597	192
2020.02	승합차	113,364	1,003	87,712	14,640	135	8,517	52	2	1,303
2020.02	화물차	330,752	2,034	297,401	25,644	975	423	-	-	4,275
2020.02	특수차	8,346	17	8,118	84	1	2	-	-	124
2020.03	계	3,125,333	1,611,341	1,117,351	268,770	17,172	9,438	94,706	623	5,932
2020.03	승용차	2,673,192	1,608,262	724,607	228,557	15,800	500	94,654	621	191
2020.03	승합차	112,657	998	87,014	14,644	138	8,514	52	2	1,295
2020.03	화물차	331,096	2,064	297,573	25,485	1,233	422	-	-	4,319
2020.03	특수차	8,388	17	8,157	84	1	2	-	-	127
2020.04	계	3,128,523	1,614,843	1,115,743	267,668	17,622	9,417	96,197	1,049	5,984
2020.04	승용차	2,677,243	1,611,725	723,966	227,664	16,010	495	96,145	1,047	191
2020.04	승합차	111,968	1,002	86,331	14,616	142	8,512	52	2	1,311
2020.04	화물차	330,856	2,099	297,235	25,303	1,469	408	-	-	4,342
2020.04	특수차	8,456	17	8,211	85	1	2	-	-	140
2020.05	계	3,133,353	1,619,511	1,114,455	266,755	18,098	9,398	98,042	1,078	6,016
2020.05	승용차	2,682,910	1,616,349	723,477	227,005	16,346	484	97,990	1,076	183
2020.05	승합차	111,330	996	85,791	14,526	142	8,509	52	2	1,312
2020.05	화물차	330,616	2,149	296,947	25,139	1,609	403	-	-	4,369
2020.05	특수차	8,497	17	8,240	85	1	2	-	-	152
2020.06	계	3,141,710	1,625,652	1,113,853	265,931	19,411	9,377	100,340	1,095	6,051
2020.06	승용차	2,691,874	1,622,460	723,307	226,450	17,621	477	100,288	1,093	178
2020.06	승합차	110,589	993	85,195	14,388	153	8,495	52	2	1,311
2020.06	화물차	330,618	2,182	297,004	25,001	1,636	403	-	-	4,392
2020.06	특수차	8,629	17	8,347	92	1	2	-	-	170
2020.07	계	3,147,149	1,629,961	1,113,145	264,958	20,003	9,374	102,510	1,112	6,086
2020.07	승용차	2,698,140	1,626,729	723,330	225,671	18,198	470	102,458	1,110	174
2020.07	승합차	109,845	989	84,485	14,353	155	8,492	52	2	1,317
2020.07	화물차	330,449	2,226	296,923	24,839	1,647	410	-	-	4,404
2020.07	특수차	8,715	17	8,407	95	3	2	-	-	191
2020.08	계	3,148,071	1,629,747	1,113,047	263,747	20,997	9,359	103,877	1,152	6,145
2020.08	승용차	2,699,801	1,626,495	723,810	224,728	19,160	462	103,825	1,150	171
2020.08	승합차	109,050	994	83,838	14,199	168	8,480	52	2	1,317
2020.08	화물차	330,501	2,241	297,010	24,724	1,662	415	-	-	4,449
2020.08	특수차	8,719	17	8,389	96	7	2	-	-	208
2020.09	계	3,151,842	1,630,627	1,113,713	262,437	22,118	9,346	106,223	1,184	6,194
2020.09	승용차	2,703,429	1,627,368	724,163	223,700	20,215	460	106,171	1,182	170
2020.09	승합차	108,205	993	83,133	14,056	184	8,463	52	2	1,322
2020.09	화물차	331,429	2,249	298,008	24,585	1,704	421	-	-	4,462
2020.09	특수차	8,779	17	8,409	96	15	2	-	-	240
2020.10	계	3,153,732	1,631,060	1,113,106	261,280	22,676	9,333	108,610	1,431	6,236
2020.10	승용차	2,705,842	1,627,759	724,273	222,711	20,489	457	108,558	1,426	169
2020.10	승합차	107,701	991	82,666	14,019	195	8,451	52	5	1,322
2020.10	화물차	331,371	2,293	297,750	24,448	1,972	423	-	-	4,485
2020.10	특수차	8,818	17	8,417	102	20	2	-	-	260
2020.11	계	3,157,278	1,633,187	1,111,941	260,065	23,052	9,240	111,978	1,545	6,270
2020.11	승용차	2,710,427	1,629,809	724,201	221,656	20,690	439	111,926	1,540	166
2020.11	승합차	107,116	998	82,138	13,952	267	8,377	52	5	1,327
2020.11	화물차	330,851	2,362	297,142	24,355	2,075	422	-	-	4,495
2020.11	특수차	8,884	18	8,460	102	20	2	-	-	282
2020.12	계	3,157,361	1,634,867	1,108,287	258,444	23,393	9,114	115,280	1,671	6,305
2020.12	승용차	2,711,984	1,631,306	722,122	220,302	20,763	435	115,228	1,662	166
2020.12	승합차	106,504	1,087	81,554	13,838	382	8,262	52	9	1,320
2020.12	화물차	329,943	2,456	296,124	24,201	2,228	416	-	-	4,518
2020.12	특수차	8,930	18	8,487	103	20	1	-	-	301
