"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202001~202006)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 01월","SK에너지","셀프","1802.00","1657.00","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 02월","SK에너지","셀프","1795.38","1637.97","1483.97","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 03월","SK에너지","셀프","1741.26","1570.61","1431.13","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 04월","SK에너지","셀프","1617.00","1425.33","1290.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 05월","SK에너지","셀프","1565.00","1350.81","1197.74","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 06월","SK에너지","셀프","1616.33","1417.33","1246.33","0.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 01월","GS칼텍스","일반","2289.00","1999.00","1903.65","1358.74"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 02월","GS칼텍스","일반","2287.48","1997.48","1863.69","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 03월","GS칼텍스","일반","2253.39","1963.39","1806.61","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 04월","GS칼텍스","일반","2156.53","1862.73","1692.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 05월","GS칼텍스","일반","2080.55","1790.55","1611.19","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 06월","GS칼텍스","일반","2079.00","1832.33","1652.33","1359.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 01월","SK에너지","셀프","0.00","1539.52","1379.52","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 02월","SK에너지","셀프","0.00","1539.48","1382.24","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 03월","SK에너지","셀프","0.00","1497.32","1333.52","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 04월","SK에너지","셀프","0.00","1357.87","1184.87","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 05월","SK에너지","셀프","0.00","1266.03","1109.52","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 06월","SK에너지","셀프","0.00","1314.73","1146.93","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 01월","S-OIL","일반","1790.00","1641.45","1499.00","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 02월","S-OIL","일반","1790.00","1635.00","1493.48","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 03월","S-OIL","일반","1749.68","1570.29","1424.81","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 04월","S-OIL","일반","1615.67","1443.57","1254.67","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 05월","S-OIL","일반","1502.58","1355.97","1163.87","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 06월","S-OIL","일반","1512.67","1382.87","1200.33","0.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 01월","GS칼텍스","일반","2146.19","1996.84","1816.29","1356.29"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 02월","GS칼텍스","일반","2125.59","1971.59","1791.41","1325.14"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 03월","GS칼텍스","일반","2081.77","1927.77","1753.87","1329.00"
