"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202007~202012)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 07월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 08월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 09월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 10월","SK에너지","셀프","1635.00","1435.00","1265.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 11월","SK에너지","셀프","1635.00","1415.67","1245.67","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2020년 12월","SK에너지","셀프","1662.42","1445.77","1269.84","0.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 07월","GS칼텍스","일반","2079.00","1867.06","1687.06","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 08월","GS칼텍스","일반","2079.00","1869.00","1689.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 09월","GS칼텍스","일반","2079.00","1895.33","1689.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 10월","GS칼텍스","일반","2079.00","1913.00","1689.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 11월","GS칼텍스","일반","2079.00","1913.00","1689.00","1359.00"
"A0000525","서울 강남구","(주)만정에너지","서울 강남구 봉은사로 433 (삼성동)","2020년 12월","GS칼텍스","일반","2104.81","1931.71","1697.06","1359.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 07월","SK에너지","셀프","0.00","1371.45","1175.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 08월","SK에너지","셀프","0.00","1375.00","1175.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 09월","SK에너지","셀프","0.00","1375.00","1175.00","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 10월","SK에너지","셀프","0.00","1369.58","1170.48","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 11월","SK에너지","셀프","0.00","1360.87","1162.33","0.00"
"A0001219","서울 강남구","(주)보성 세곡주유소","서울 강남구  헌릉로 731 (세곡동)","2020년 12월","SK에너지","셀프","0.00","1374.61","1174.61","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 07월","S-OIL","일반","1539.03","1405.65","1230.65","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 08월","S-OIL","일반","1550.00","1417.58","1245.32","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 09월","S-OIL","일반","1568.67","1416.60","1255.00","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 10월","S-OIL","일반","1570.00","1415.00","1250.87","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 11월","S-OIL","일반","1548.33","1415.00","1218.20","0.00"
"A0009061","서울 강남구","(주)선진도곡주유소","서울 강남구 도곡로 162 (도곡동)","2020년 12월","S-OIL","일반","1566.94","1431.45","1231.45","0.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 07월","GS칼텍스","일반","2039.58","1885.58","1695.77","0.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 08월","GS칼텍스","일반","2038.61","1884.61","1689.00","0.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 09월","GS칼텍스","일반","2064.00","1911.00","1689.00","0.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 10월","GS칼텍스","일반","2066.03","1912.03","1689.00","1138.00"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 11월","GS칼텍스","일반","2049.00","1895.00","1671.00","1115.20"
"A0001217","서울 강남구","(주)소모에너지엔테크놀러지 쎈트럴주유소","서울 강남구 삼성로 335","2020년 12월","GS칼텍스","일반","2067.97","1915.58","1683.97","1100.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 07월","SK에너지","셀프","1708.00","1468.00","1258.00","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 08월","SK에너지","셀프","1699.61","1466.39","1262.52","0.00"
"A0001213","서울 강남구","(주)중앙에너비스 수서지점","서울 강남구 광평로 202 (수서동)","2020년 09월","SK에너지","셀프","1698.00","1459.00","1253.67","0.00"
